preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
6.72,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.71,6.71,6.71,6.72,6.73,6.75,6.76,6.77,6.78,6.79,6.8,6.81,21400,600,600,13400,6000,8000,8600,16500,45600,9400,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,52700,64500,18800,47000,123600,23100,11600,32200,14100,18300,68,6,3,4,3,5,7,21,15,4,14,12,4,14,3,4,2,11,2,2,134.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,65200,6.713496932515337,437720.0,22,38680.0,47,65200,6.713496932515337,437720.0,22,38680.0,1758.1818181818182,23041.291620200733
6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.71,6.73,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,19600,600,13400,6000,8000,8600,16500,45600,9400,7000,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,4600,300,52700,64500,18800,47000,123600,23100,11600,32200,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,11,2,2,111.66666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,-1,51,69700,6.713496932515337,467960.0,22,38680.0,4,4500,6.713496932515337,30240.0,0,-1,-1,20549.5041421061
6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.74,6.73,6.73,6.71,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,8900,100,9400,13400,6000,8000,8600,16500,45600,9400,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,5800,700,52600,64500,18800,47000,123600,23100,11600,32200,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,11,2,2,105.78947368421052,205406.66666666666,-1,-1,-1,-1,-1,-1,-1,-1,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,-1,61,88400,6.715863808322824,593817.0,24,654900.0,10,18700,6.730320855614973,125857.0,2,616220.0,308110.0,16831.565636450534
6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.71,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6900,3200,9400,13400,6000,8000,8600,16500,45600,9400,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,11700,700,52600,64500,18800,47000,123600,23100,11600,32200,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,11,2,2,105.78947368421052,154620.0,-1,-1,-1,-1,-1,-1,-1,-1,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,-1,66,90400,6.71766592920354,607277.0,28,660390.0,5,2000,6.73,13460.0,4,5490.0,1372.5,20019.569459933085
6.72,6.73,6.73,6.73,6.73,6.72,6.72,6.73,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,10400,15900,6000,8000,8600,16500,67600,9400,7000,2800,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,8100,700,52600,64500,18800,47000,124600,26100,11600,32200,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,-1,75,103800,6.7186779324055665,697420.0,30,663490.0,9,13400,6.727089552238806,90143.0,2,3100.0,1550.0,19722.687987892306
6.73,6.73,6.73,6.73,6.73,6.72,6.72,6.73,6.72,6.73,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,800,10500,15900,6000,8000,8600,16500,67600,9400,7000,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,100,8300,700,52600,64500,18800,47000,124600,26100,11600,69,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,12,2,2,69064.44444444444,-1,-1,-1,-1,-1,-1,-1,-1,-1,269.1666666666667,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,78,111900,6.719678284182305,751932.0,30,663490.0,3,8100,6.719678284182305,54512.0,0,-1,-1,20908.016369284687
6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,2400,15900,6000,8000,8600,16500,67600,9400,7000,2800,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,20300,9800,8100,54700,64500,18800,47000,124600,26100,11600,69,6,3,4,3,5,7,21,15,4,17,12,4,14,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,82,116500,6.720077253218884,782889.0,31,666590.0,4,4600,6.729782608695652,30957.0,1,3100.0,3100.0,20565.891349370722
6.74,6.73,6.73,6.73,6.73,6.74,6.74,6.74,6.73,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,10000,15900,6000,8000,8600,16500,67600,9400,7000,2800,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,15600,13400,8100,54700,66500,18800,47100,126600,26100,11600,70,6,3,4,3,5,7,21,15,4,17,12,4,15,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,84,124900,6.721016813450761,839455.0,31,666590.0,2,8400,6.721016813450761,56566.0,0,-1,-1,22083.05719292656
6.74,6.73,6.73,6.73,6.73,6.74,6.74,6.74,6.73,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,10800,15900,6000,8000,8600,16500,67600,9400,7000,2800,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,13200,13400,8100,54700,66500,18800,47100,126600,26100,11600,70,6,3,4,3,5,8,21,15,4,17,12,4,15,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,86,125500,6.721075697211155,843495.0,31,666590.0,2,600,6.721075697211155,4040.0,0,-1,-1,22202.660506611446
6.73,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,10600,15900,6000,8000,8600,16500,67600,9400,7000,2800,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,34400,13400,8100,58300,66500,18800,47100,126600,26100,11600,70,6,3,4,3,5,8,21,15,4,17,12,4,15,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,87,125700,6.721075697211155,844843.0,31,666590.0,1,200,6.721075697211155,1348.0,0,-1,-1,24061.111996176518
6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.74,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,7900,6000,8000,8600,16500,67600,9400,7000,2800,12100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,12800,34800,13400,8100,58300,66500,25800,47100,126600,26100,70,6,3,4,3,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,108,137900,6.721075697211155,927151.0,31,666590.0,21,12200,6.721075697211155,82308.0,0,-1,-1,19632.958618766927
6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.74,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,6300,6000,8000,8600,16500,67600,9400,7000,3800,12100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,4100,15400,13400,8100,58300,66500,25800,46100,126600,26100,70,6,3,4,3,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,118,166600,6.721075697211155,1120605.0,31,666590.0,10,28700,6.721075697211155,193454.0,0,-1,-1,17743.435359248047
6.75,6.74,6.74,6.74,6.74,6.75,6.75,6.75,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,3700,6000,8000,8600,16500,67600,9400,7000,3800,12100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,5600,20200,13600,8100,57700,69200,25800,46100,126600,26100,71,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,124,173600,6.721075697211155,1167854.0,31,666590.0,6,7000,6.721075697211155,47249.0,0,-1,-1,21190.126652859646
6.74,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,5900,6000,8000,8600,16500,70600,9400,7000,3800,12100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,10600,20200,13600,8100,57700,69200,25800,46100,126600,26100,71,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,125,173700,6.721075697211155,1168529.0,31,666590.0,1,100,6.721075697211155,675.0,0,-1,-1,20561.311135892942
6.75,6.76,6.76,6.76,6.76,6.74,6.74,6.76,6.74,6.76,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,6.85,4300,8000,8600,16500,70600,9400,7000,3800,12100,23600,6.75,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,10300,11500,20200,15200,8100,57700,69200,25800,46100,126600,71,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,222.3684210526316,0.0,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,157,214800,6.7316860735910575,1445969.0,42,763540.0,32,41100,6.75036496350365,277440.0,11,96950.0,8813.636363636364,20504.601123148
6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.74,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,12400,23600,8000,8600,16500,71900,9400,7000,3800,12100,6.75,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6000,31600,20200,11700,8100,57700,69200,25800,46100,126600,72,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,232.05128205128204,6170.0,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,164,221100,6.731957408246489,1488443.0,45,794990.0,7,6300,6.741904761904762,42474.0,3,31450.0,10483.333333333334,23049.485223833035
6.75,6.74,6.74,6.74,6.74,6.74,6.74,6.75,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,11100,23600,6000,8600,20600,73900,9400,7000,3800,12100,6.75,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,2200,29400,22200,11700,8100,57700,69200,25800,46100,126600,73,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,215.47619047619048,7986.666666666667,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,171,225200,6.732011727559765,1516091.0,46,812060.0,7,4100,6.743414634146341,27648.0,1,17070.0,17070.0,22601.62995857894
6.74,6.74,6.74,6.74,6.74,6.75,6.75,6.75,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,9800,23600,6000,8600,36500,73900,9400,7000,3800,12100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,20000,22200,18700,8100,57700,71200,25800,46100,126600,26100,74,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,7986.666666666667,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,176,239700,6.732011727559765,1613843.0,46,812060.0,5,14500,6.732011727559765,97752.0,0,-1,-1,23263.38716743668
6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,3100,23600,6000,10600,36500,73900,9400,7400,3800,12100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,26100,17700,18700,8100,57700,71200,25800,46100,126600,26100,74,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,7986.666666666667,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,178,246400,6.732011727559765,1659068.0,46,812060.0,2,6700,6.732011727559765,45225.0,0,-1,-1,22776.434801656844
6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,7800,23600,7000,10600,36500,75900,9400,7400,3800,12100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,26200,17700,18700,8100,57700,71200,25800,46100,126600,26100,74,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,12,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,7986.666666666667,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,180,247500,6.732011727559765,1666482.0,46,812060.0,2,1100,6.732011727559765,7414.0,0,-1,-1,23589.536203600448
6.74,6.75,6.75,6.75,6.75,6.74,6.74,6.75,6.74,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,18000,23600,7000,10600,36500,75900,9400,7400,3800,12100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,31100,18200,18700,8100,57700,71200,25800,46100,126600,27100,75,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,13,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,7986.666666666667,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,182,248200,6.733303787268332,1671206.0,46,812060.0,2,700,6.733303787268332,4724.0,0,-1,-1,24778.147403218096
6.74,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.74,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,17700,23600,12000,12600,36500,75900,10200,7400,4800,13100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,30700,18200,18700,8100,57700,71200,25800,46100,126600,27100,75,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,13,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,7986.666666666667,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,186,249100,6.733348052990767,1677277.0,46,812060.0,4,900,6.733348052990767,6071.0,0,-1,-1,27901.96351760395
6.74,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,17700,24600,12000,12600,46500,75900,10200,7400,5800,13100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,30500,18200,18700,8100,57700,71200,25800,46100,126600,27100,75,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,13,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,7986.666666666667,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,186,249100,6.733348052990767,1677277.0,46,812060.0,0,0,-1,0.0,0,-1,-1,28490.77983112952
6.75,6.74,6.74,6.74,6.74,6.75,6.75,6.75,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,24600,24600,12000,32600,50500,77900,10200,7400,5800,3100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,30300,18200,18700,7800,58200,71800,25800,46100,126600,27100,75,6,3,4,4,5,8,21,15,4,18,12,4,15,3,4,2,13,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,7986.666666666667,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,188,249500,6.73336141195347,1679975.0,46,812060.0,2,400,6.73336141195347,2698.0,0,-1,-1,30581.000079655885
6.75,6.74,6.74,6.74,6.74,6.75,6.75,6.75,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,26400,24600,27000,32600,50500,77900,10200,7400,5800,3100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,20300,18400,16100,12800,59200,71800,25800,46100,126600,27100,75,6,3,4,4,6,8,21,15,4,18,12,4,15,3,4,2,13,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,33697.05882352941,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,202,267900,6.734135871593878,1804075.0,57,1336990.0,14,18400,6.744565217391305,124100.0,11,524930.0,47720.90909090909,31079.522462960012
6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,26400,24600,27000,32600,50500,77900,10200,7400,5800,3100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,19500,18400,16300,12800,59200,71800,29100,46100,126600,27100,75,6,3,4,4,6,8,21,15,4,18,12,4,15,3,4,2,13,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,34518.333333333336,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,202,267900,6.734135871593878,1804075.0,57,1336990.0,0,0,-1,0.0,0,-1,-1,31108.96327863629
6.74,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.74,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,28500,24600,27100,32600,50500,77900,11200,7400,5800,3100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,19100,18400,16300,12800,60900,71800,29100,46100,126600,27100,75,6,3,4,4,6,8,21,15,4,19,12,4,15,3,4,2,13,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,37466.666666666664,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,209,269900,6.734234901815487,1817570.0,60,1502460.0,7,2000,6.7475,13495.0,3,165470.0,55156.666666666664,31463.50167277361
6.74,6.74,6.74,6.74,6.74,6.75,6.75,6.75,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,30600,24600,27100,32600,50500,79900,11200,7400,5800,3100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,32200,18400,16300,12800,60900,71800,29100,46100,126600,27100,75,6,3,4,4,6,8,21,15,4,19,12,4,15,3,4,2,13,2,2,5531.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,42962.96296296296,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,224,272100,6.7343072399852995,1832405.0,66,1875660.0,15,2200,6.743181818181818,14835.0,6,373200.0,62200.0,32998.30133821889
6.75,6.74,6.74,6.74,6.74,6.75,6.75,6.75,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,53600,24600,27100,32600,51400,79900,11200,7400,5800,9100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,32100,18400,16300,12800,61300,71800,29100,46100,126600,27100,75,7,3,4,4,6,8,21,15,4,19,12,4,15,3,4,2,13,2,2,7291.176470588235,-1,-1,-1,-1,-1,-1,-1,-1,-1,42962.96296296296,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,230,274300,6.734429456799125,1847254.0,67,1911110.0,6,2200,6.749545454545455,14849.0,1,35450.0,35450.0,34885.07049545961
6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,53600,24600,27100,32600,52400,79900,11200,7400,5800,9100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,32000,18400,16300,13300,63300,71800,29100,46100,126600,27100,75,7,3,4,4,6,8,21,16,4,19,12,4,15,3,4,2,13,2,2,7291.176470588235,-1,-1,-1,-1,-1,-1,-1,-1,-1,42962.96296296296,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,231,274400,6.7344314868804664,1847928.0,67,1911110.0,1,100,6.7344314868804664,674.0,0,-1,-1,36509.572646168555
6.75,6.74,6.74,6.74,6.74,6.75,6.75,6.75,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,50900,24600,42100,32600,52400,79900,11200,7400,5800,9100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,17600,18400,16300,13300,63600,21400,29100,46100,126600,27100,75,7,3,4,4,6,8,21,16,4,19,12,4,15,3,4,2,13,2,2,11042.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,49398.28571428572,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,248,297000,6.7351330414280906,2000335.0,78,2576950.0,17,22600,6.743672566371681,152407.0,11,665840.0,60530.90909090909,29354.260594232914
6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,52000,24600,42100,32600,52400,79900,11200,7400,5800,9100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,14100,18400,16300,13300,63200,21400,30100,46100,126600,28100,75,8,3,4,4,6,8,22,16,4,19,12,4,15,3,4,2,14,2,2,11042.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,49398.28571428572,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,251,301100,6.7351330414280906,2027969.0,78,2576950.0,3,4100,6.7351330414280906,27634.0,0,-1,-1,33895.82404014657
6.74,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.74,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,53200,27200,42100,33600,52400,79900,11200,7400,5800,3100,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,13800,18400,16300,13300,63200,21400,30100,46100,126600,28100,75,8,3,4,4,6,8,22,16,4,19,12,5,15,3,4,2,14,2,2,11042.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,49398.28571428572,230.71428571428572,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,255,302100,6.735236676597153,2034715.0,78,2576950.0,4,1000,6.735236676597153,6746.0,0,-1,-1,34315.69021825713
