preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
7.05,7.05,7.05,7.05,7.05,7.04,7.04,7.06,7.04,7.05,7.06,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,17200,6000,9000,11900,71300,7900,14000,24300,14200,133700,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,6.97,6.96,65400,50500,82100,21200,23100,170000,69700,21000,4200,12300,103,17,26,3,5,1,5,1,8,4,12,30,34,1,28,3,8,5,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1251.8181818181818,1637.5,-1,-1,-1,-1,-1,-1,-1,-1,33,37800,7.044497354497355,266282.0,12,20310,33,37800,7.044497354497355,266282.0,12,20310,1692.5,37660.15214274335
7.05,7.05,7.05,7.05,7.05,7.06,7.05,7.06,7.05,7.05,7.06,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,22800,6000,9000,12100,72600,7900,14000,24300,14400,133900,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,6.97,6.96,66800,55900,76900,21200,23100,171200,69700,26000,4200,12300,103,17,26,3,5,1,5,1,8,4,12,31,34,1,29,3,8,5,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1251.8181818181818,1637.5,-1,-1,-1,-1,-1,-1,-1,-1,40,41400,7.045772946859904,291695.0,13,20440,7,3600,7.059166666666667,25413.0,1,130,130.0,38770.12107694759
7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.06,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,2600,29100,6000,9000,12100,72600,7900,14000,24300,14400,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,6.97,6.96,70600,62800,76900,21200,23100,171200,69700,26000,4200,12300,103,17,26,3,5,1,5,1,8,4,12,31,34,1,29,3,8,5,1,7,38.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1055.0,1637.5,-1,-1,-1,-1,-1,-1,-1,-1,46,43700,7.0459584295612006,307910.0,16,21530,6,2300,7.05,16215.0,3,1090,363.3333333333333,35200.590449259194
7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,24100,6300,9000,13600,72600,7900,14000,24300,14400,138900,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,6.97,6.96,81800,62100,77900,22200,23100,174200,69700,26000,4200,12300,103,17,26,3,5,1,5,1,8,4,14,31,35,1,30,3,8,5,1,7,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1055.0,1637.5,-1,-1,-1,-1,-1,-1,-1,-1,47,49400,7.0459584295612006,348152.0,16,21530,1,5700,7.0459584295612006,40242.0,0,-1,-1,41335.94671021188
7.06,7.07,7.07,7.07,7.07,7.06,7.06,7.07,7.06,7.07,7.06,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,22900,5100,9000,13600,72600,7900,19000,24300,14400,138900,7.06,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,6.97,1200,84500,61600,77900,22200,23100,174200,69700,26000,4200,103,17,26,3,5,1,5,1,8,4,20,31,35,1,30,3,8,5,1,7,0.0,466520.0,-1,-1,-1,-1,-1,-1,-1,-1,0.0,1055.0,1637.5,-1,-1,-1,-1,-1,-1,-1,51,54900,7.049071038251366,386994.0,17,488050.0,4,5500,7.062181818181818,38842.0,1,466520.0,466520.0,36474.584793691254
7.07,7.07,7.07,7.07,7.07,7.06,7.06,7.07,7.06,7.07,7.06,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,19000,4400,10500,13600,72600,7900,19000,24300,14400,138900,7.06,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,6.97,3100,88000,61600,77900,25200,23100,174200,69700,26000,4200,104,17,26,3,5,1,5,1,8,4,27,31,35,1,30,3,8,5,1,7,0.0,466520.0,-1,-1,-1,-1,-1,-1,-1,-1,2953.3333333333335,1055.0,1637.5,-1,-1,-1,-1,-1,-1,-1,58,59600,7.05005033557047,420183.0,20,505770.0,7,4700,7.061489361702128,33189.0,3,17720.0,5906.666666666667,36583.67353034888
7.07,7.08,7.08,7.08,7.08,7.07,7.07,7.08,7.07,7.08,7.06,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,7.16,11400,10000,13600,73100,7900,19000,24300,14400,138900,86500,7.07,7.06,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,200,3000,81000,61600,77900,25200,23100,174200,69700,26400,104,17,26,3,5,1,5,1,8,4,27,31,35,1,30,3,8,5,1,7,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,892.0,2953.3333333333335,1055.0,1637.5,-1,-1,-1,-1,-1,-1,70,70200,7.053190883190883,495134.0,22,510230.0,12,10600,7.070849056603773,74951.0,2,4460.0,2230.0,32270.478931018002
7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.06,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,7.16,9100,10300,42100,62200,7900,19000,24300,14400,140900,86500,7.07,7.06,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,1900,3400,82100,50500,77900,25200,25100,168300,69700,26400,104,17,26,3,5,1,5,1,8,4,28,31,35,1,30,3,8,5,1,7,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1690.0,2953.3333333333335,1055.0,1637.5,-1,-1,-1,-1,-1,-1,71,72000,7.053190883190883,507860.0,22,510230.0,1,1800,7.053190883190883,12726.0,0,-1,-1,35970.48848972439
7.07,7.08,7.08,7.08,7.08,7.07,7.07,7.08,7.07,7.08,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,7.16,4800,24700,42100,65700,8400,19000,24300,14400,140900,86500,7.07,7.06,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,5800,3400,74300,50500,78600,25200,25400,168300,69700,26400,105,17,26,3,5,1,5,1,8,4,28,32,36,1,30,3,8,5,1,7,25926.11111111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,1477.7777777777778,2953.3333333333335,1055.0,1637.5,-1,-1,-1,-1,-1,-1,88,123900,7.060453074433657,874796.0,26,513540.0,17,51900,7.070057803468208,366936.0,4,3310.0,827.5,36873.953520790186
7.07,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.07,7.08,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,7.16,1000,25700,47200,84200,8400,21500,25300,14400,140900,86900,7.07,7.06,7.05,7.04,7.03,7.02,7.01,7.0,6.99,6.98,17600,3700,74300,50500,78600,25200,25400,168300,69700,26400,105,17,26,3,5,1,5,1,8,4,29,32,36,1,30,3,8,5,1,7,24561.57894736842,-1,-1,-1,-1,-1,-1,-1,-1,-1,1477.7777777777778,2953.3333333333335,1055.0,1637.5,-1,-1,-1,-1,-1,-1,94,133200,7.060453074433657,940561.0,26,513540.0,6,9300,7.060453074433657,65765.0,0,-1,-1,39045.72148319261
