time,last_price,volume,money,bid1_price,bid2_price,bid3_price,bid4_price,bid5_price,bid1_volume,bid2_volume,bid3_volume,bid4_volume,bid5_volume,ask1_price,ask2_price,ask3_price,ask4_price,ask5_price,ask1_volume,ask2_volume,ask3_volume,ask4_volume,ask5_volume
85709000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
85809000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90109000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90209000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90609000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90709000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91009000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91109000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91509000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,62000,0,0,0,0,6.73,0.0,0.0,0.0,0.0,62000,55600,0,0,0
91536000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,62600,0,0,0,0,6.73,0.0,0.0,0.0,0.0,62600,55500,0,0,0
91603000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,66600,0,0,0,0,6.73,0.0,0.0,0.0,0.0,66600,52000,0,0,0
91630000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,70900,0,0,0,0,6.73,0.0,0.0,0.0,0.0,70900,50200,0,0,0
91751000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,82600,0,0,0,0,6.73,0.0,0.0,0.0,0.0,82600,45200,0,0,0
91845000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,92200,0,0,0,0,6.73,0.0,0.0,0.0,0.0,92200,40600,0,0,0
91912000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,80700,0,0,0,0,6.73,0.0,0.0,0.0,0.0,80700,51500,0,0,0
91939000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,83900,0,0,0,0,6.73,0.0,0.0,0.0,0.0,83900,49300,0,0,0
92009000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,94000,0,0,0,0,6.73,0.0,0.0,0.0,0.0,94000,61800,0,0,0
92036000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,94000,0,0,0,0,6.73,0.0,0.0,0.0,0.0,94000,78100,0,0,0
92054000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,96300,0,0,0,0,6.73,0.0,0.0,0.0,0.0,96300,75800,0,0,0
92103000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,100300,0,0,0,0,6.73,0.0,0.0,0.0,0.0,100300,72300,0,0,0
92121000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,103000,0,0,0,0,6.73,0.0,0.0,0.0,0.0,103000,78000,0,0,0
92130000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,103000,0,0,0,0,6.73,0.0,0.0,0.0,0.0,103000,79000,0,0,0
92148000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,136000,0,0,0,0,6.73,0.0,0.0,0.0,0.0,136000,47300,0,0,0
92157000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,136100,0,0,0,0,6.73,0.0,0.0,0.0,0.0,136100,47200,0,0,0
92215000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,140400,0,0,0,0,6.73,0.0,0.0,0.0,0.0,140400,45400,0,0,0
92224000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,141700,0,0,0,0,6.73,0.0,0.0,0.0,0.0,141700,45000,0,0,0
92242000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,141800,0,0,0,0,6.73,0.0,0.0,0.0,0.0,141800,49500,0,0,0
92251000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,142100,0,0,0,0,6.73,0.0,0.0,0.0,0.0,142100,50700,0,0,0
92309000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,169500,0,0,0,0,6.73,0.0,0.0,0.0,0.0,169500,41100,0,0,0
92318000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,172500,0,0,0,0,6.73,0.0,0.0,0.0,0.0,172500,38900,0,0,0
92336000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,183400,0,0,0,0,6.73,0.0,0.0,0.0,0.0,183400,30200,0,0,0
92345000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,183400,0,0,0,0,6.73,0.0,0.0,0.0,0.0,183400,100200,0,0,0
92403000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,186600,0,0,0,0,6.73,0.0,0.0,0.0,0.0,186600,99200,0,0,0
92412000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,197500,0,0,0,0,6.73,0.0,0.0,0.0,0.0,197500,92400,0,0,0
92430000,0.0,0,0.0,6.73,0.0,0.0,0.0,0.0,295900,0,0,0,0,6.73,0.0,0.0,0.0,0.0,295900,6200,0,0,0
