time,oid,oidb,oids,price,volume,flag,ptype
91500150,31223,0,0,7.34,1000,2,2
91500160,33124,0,0,6.45,500,1,2
91500160,33127,0,0,7.05,500,2,2
91500160,33842,0,0,7.34,1500,2,2
91500160,34023,0,0,6.15,800,1,2
91500170,34285,0,0,6.86,900,2,2
91500170,34327,0,0,7.36,5000,2,2
91500170,34328,0,0,7.34,5000,2,2
91500170,34329,0,0,7.29,5000,2,2
91500170,34330,0,0,7.24,5000,2,2
91500170,34331,0,0,7.19,5000,2,2
91500170,34642,0,0,7.14,5000,2,2
91500170,35025,0,0,7.23,1000,2,2
91500170,35630,0,0,7.2,500,2,2
91500170,35852,0,0,6.98,1100,2,2
91500170,35931,0,0,7.0,1000,2,2
91500180,36455,0,0,6.5,1200,1,2
91500180,36631,0,0,6.72,100,2,2
91500180,36652,0,0,6.58,100,1,2
91500180,36904,0,0,7.36,1000,2,2
91500180,37043,0,0,7.15,1100,2,2
91500180,37261,0,0,7.3,900,2,2
91500180,37412,0,0,6.03,1000,1,2
91500180,37494,0,0,7.36,200,2,2
91500180,37632,0,0,6.98,300,2,2
91500180,37922,0,0,7.25,200,2,2
91500180,37924,0,0,6.1,400,1,2
91500180,38193,0,0,7.0,100,2,2
91500180,38215,0,0,7.3,2000,2,2
91500180,38332,0,0,6.61,2000,1,2
91500180,38333,0,0,6.59,2000,1,2
91500180,38334,0,0,6.57,2000,1,2
91500190,38565,0,0,7.34,200,2,2
91500190,38602,0,0,6.98,200,2,2
91500190,38604,0,0,7.35,200,2,2
91500190,39224,0,0,6.8,100,2,2
91500190,39715,0,0,6.96,500,2,2
91500190,39716,0,0,7.32,1000,2,2
91500190,39718,0,0,7.22,800,2,2
91500200,40756,0,0,7.36,500,2,2
91500200,41064,0,0,7.23,2000,2,2
91500210,41576,0,0,6.73,600,2,2
91500210,41609,0,0,7.3,3000,2,2
91500210,42092,0,0,7.35,6100,2,2
91500210,42141,0,0,7.35,5200,2,2
91500210,42263,0,0,6.98,500,2,2
91500210,42323,0,0,7.36,4000,2,2
91500210,42698,0,0,6.79,300,2,2
91500220,42893,0,0,6.78,500,2,2
91500220,42895,0,0,6.88,500,2,2
91500220,42901,0,0,6.98,500,2,2
91500220,42909,0,0,7.15,500,2,2
91500220,42916,0,0,7.3,500,2,2
91500220,43354,0,0,6.72,2200,2,2
91500220,43477,0,0,6.75,2300,2,2
91500220,43889,0,0,6.35,1500,2,2
91500220,43986,0,0,7.3,1000,2,2
91500220,44042,0,0,6.77,5000,2,2
91500220,44197,0,0,6.95,6200,2,2
91500220,44256,0,0,7.26,700,2,2
91500230,44459,0,0,6.78,300,2,2
91500230,44692,0,0,6.88,300,2,2
91500230,44693,0,0,7.08,500,2,2
91500230,44694,0,0,7.36,800,2,2
91500230,44737,0,0,6.88,2000,2,2
91500230,44751,0,0,7.34,300,2,2
91500230,44767,0,0,7.36,60000,2,2
91500230,44992,0,0,6.77,3000,2,2
91500230,45368,0,0,7.35,400,2,2
91500230,45475,0,0,7.1,2800,2,2
91500230,45476,0,0,7.17,3000,2,2
91500230,45478,0,0,7.25,3000,2,2
91500230,45828,0,0,7.2,2800,2,2
91500240,46489,0,0,6.89,1000,2,2
91500240,46490,0,0,6.99,2000,2,2
91500240,46491,0,0,7.09,4000,2,2
91500240,46492,0,0,7.36,8000,2,2
91500240,46542,0,0,7.0,3000,2,2
91500240,46890,0,0,6.83,5000,2,2
91500250,47479,0,0,6.78,1000,2,2
91500250,47480,0,0,6.83,1000,2,2
91500250,47481,0,0,6.88,1100,2,2
91500250,47482,0,0,6.93,1200,2,2
91500250,47483,0,0,6.98,1200,2,2
91500250,47484,0,0,7.02,1300,2,2
91500250,47485,0,0,7.08,1300,2,2
91500250,47486,0,0,7.13,1400,2,2
91500250,47487,0,0,7.18,1400,2,2
91500250,47488,0,0,7.23,1500,2,2
91500250,47489,0,0,7.28,2000,2,2
91500250,48216,0,0,7.3,300,2,2
91500260,48629,0,0,7.36,4100,2,2
91500260,48694,0,0,6.77,2900,2,2
91500270,50486,0,0,6.6,2000,1,2
91500270,50487,0,0,6.85,1800,2,2
91500270,51063,0,0,7.36,500,2,2
91500270,51289,0,0,7.3,2800,2,2
91500270,51290,0,0,6.62,3100,1,2
91500280,51570,0,0,7.28,4400,2,2
91500280,52574,0,0,6.56,1000,1,2
91500300,54082,0,0,7.33,5000,2,2
91500300,54084,0,0,7.1,5700,2,2
91500300,54090,0,0,7.07,1700,2,2
91500300,54685,0,0,6.98,2000,2,2
91500300,54686,0,0,7.27,2000,2,2
91500300,54710,0,0,7.33,7000,2,2
91500300,54711,0,0,7.1,6000,2,2
91500300,54728,0,0,7.33,7000,2,2
91500300,54754,0,0,6.72,30500,2,2
91500300,54821,0,0,7.3,10000,2,2
91500300,54825,0,0,7.3,600,2,2
91500310,55766,0,0,6.68,700,2,2
91500330,57669,0,0,7.36,2000,2,2
91500330,57689,0,0,6.06,300,1,2
91500340,59502,0,0,7.36,1000,2,2
91500350,59959,0,0,7.33,7000,2,2
91500350,59960,0,0,7.1,6000,2,2
91500350,59968,0,0,7.33,12000,2,2
91500350,59969,0,0,7.1,6000,2,2
91500360,60746,0,0,7.35,100,2,2
91500370,62399,0,0,7.32,6000,2,2
91500370,62400,0,0,7.09,5000,2,2
91500390,63411,0,0,6.77,100,2,2
91500390,63490,0,0,6.99,1100,2,2
91500390,63517,0,0,7.33,12000,2,2
91500390,63518,0,0,7.1,7000,2,2
91500390,64138,0,0,6.88,1000,2,2
91500390,64139,0,0,6.85,1000,2,2
91500390,64140,0,0,6.82,500,2,2
91500390,64145,0,0,6.79,500,2,2
91500390,64147,0,0,6.76,500,2,2
91500390,64162,0,0,6.73,300,2,2
91500390,64177,0,0,6.72,300,2,2
91500390,64181,0,0,6.74,300,2,2
91500390,64192,0,0,6.77,300,2,2
91500390,64195,0,0,7.33,2500,2,2
91500390,64198,0,0,6.8,500,2,2
91500390,64234,0,0,6.83,500,2,2
91500390,64242,0,0,6.85,500,2,2
91500390,64250,0,0,6.87,500,2,2
91500390,64376,0,0,6.71,300,2,2
91500390,64377,0,0,6.73,300,2,2
91500390,64384,0,0,6.75,300,2,2
91500390,64417,0,0,6.78,300,2,2
91500390,64418,0,0,6.81,300,2,2
91500390,64432,0,0,6.84,300,2,2
91500390,64458,0,0,7.08,700,2,2
91500390,64521,0,0,6.77,800,2,2
91500390,64522,0,0,6.61,1000,1,2
91500400,64574,0,0,7.36,200,2,2
91500400,64603,0,0,6.7,400,2,2
91500400,64657,0,0,7.29,100,2,2
91500400,64658,0,0,7.19,100,2,2
91500400,64659,0,0,7.09,100,2,2
91500400,64665,0,0,6.99,100,2,2
91500400,64897,0,0,7.28,400,2,2
91500410,65672,0,0,7.34,2000,2,2
91500410,66876,0,0,6.97,400,2,2
91500410,66879,0,0,7.33,1000,2,2
91500420,67053,0,0,6.84,1000,2,2
91500420,67582,0,0,7.0,100,2,2
91500420,67583,0,0,7.1,100,2,2
91500420,67584,0,0,7.2,100,2,2
91500420,67585,0,0,7.3,100,2,2
91500420,67893,0,0,6.78,500,2,2
91500430,68368,0,0,6.32,3700,1,2
91500430,68756,0,0,6.97,2000,2,2
91500430,68975,0,0,6.78,8100,2,2
91500430,68976,0,0,6.85,8100,2,2
91500430,69056,0,0,6.8,200,2,2
91500430,69105,0,0,7.36,8000,2,2
91500440,69353,0,0,7.1,1000,2,2
91500440,69359,0,0,7.2,1000,2,2
91500440,69360,0,0,7.3,2000,2,2
91500440,69399,0,0,7.36,2000,2,2
91500440,69641,0,0,7.36,2000,2,2
91500440,69646,0,0,6.84,1000,2,2
91500440,69896,0,0,7.35,3000,2,2
91500450,69987,0,0,7.35,200,2,2
91500450,70099,0,0,6.9,2000,2,2
