preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
6.86,6.86,6.86,6.86,6.86,6.87,6.88,6.88,6.86,6.86,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6500,55900,69600,28300,5500,30200,43201,9000,37000,41800,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,6.76,2000,14500,6500,6800,25000,45600,1500,7100,2800,1100,4,6,78,6,13,5,5,4,3,6,19,10,12,7,5,2,6,1,1,4,56.666666666666664,40.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,324700,6.869861591695502,2230577.0,25,5670360.0,61,104600,6.868929254302103,718490.0,10,1490.0,149.0,18181.203998725505
6.87,6.86,6.86,6.86,6.86,6.87,6.87,6.87,6.86,6.86,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6700,55900,69600,28300,5500,33200,43201,9500,39000,41800,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,900,2000,24000,7500,6800,25000,65600,1500,7100,3100,4,7,78,6,13,6,5,4,3,6,21,10,12,7,5,2,6,1,1,5,56.666666666666664,40.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,326900,6.869861591695502,2245680.0,25,5670360.0,4,2200,6.869861591695502,15103.0,0,-1,-1,19122.376135096383
6.85,6.86,6.87,6.86,6.87,6.85,6.85,6.87,6.84,6.87,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,8500,55900,69600,28300,5500,58700,43201,9500,39000,41800,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,6.76,3800,33800,7500,6800,25000,65600,1500,7100,3100,1100,4,7,78,6,13,6,5,4,3,6,21,10,12,7,5,2,6,1,1,5,56.666666666666664,40.0,-1,-1,-1,-1,-1,-1,-1,-1,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,-1,-1,106,388800,6.866428755475393,2669668.0,29,6887970.0,17,61900,6.8495638126009695,423988.0,4,1217610.0,304402.5,28274.124432451805
6.85,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.85,6.86,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,8500,55900,69600,28300,5500,58700,43201,9500,39000,41800,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,3400,5700,34500,14800,6800,25000,65600,1500,7100,3100,4,7,78,6,13,6,5,4,3,6,21,10,12,7,5,2,6,1,1,5,56.666666666666664,40.0,-1,-1,-1,-1,-1,-1,-1,-1,220.0,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,-1,110,389800,6.866398152898922,2676522.0,30,6888630.0,4,1000,6.854,6854.0,1,660.0,660.0,25769.59201250597
6.87,6.87,6.87,6.87,6.87,6.86,6.86,6.87,6.86,6.87,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,2800,55900,69600,28300,5500,58700,43201,9500,39000,41800,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,4200,5700,33800,15300,6800,25000,65600,1500,7100,3100,4,7,79,6,13,6,5,4,3,6,21,10,12,7,5,2,6,1,1,5,5393.6,40.0,-1,-1,-1,-1,-1,-1,-1,-1,1236.0,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,-1,123,396800,6.866412465163415,2724600.0,39,7027970.0,13,7000,6.868285714285714,48078.0,9,139340.0,15482.222222222223,24190.11535168074
6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.88,6.86,6.86,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,62800,69600,30800,5500,58700,43201,9500,39000,41800,7600,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,6.76,5700,33800,15300,6800,25000,66600,1500,7100,3100,1100,4,7,80,6,13,6,5,4,3,6,21,11,12,7,5,2,6,1,1,5,40.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,-1,-1,137,405600,6.866457509881423,2785030.0,48,7071130.0,14,8800,6.867045454545455,60430.0,9,43160.0,4795.555555555556,32378.887804683764
6.87,6.86,6.86,6.86,6.86,6.86,6.86,6.87,6.86,6.86,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,2200,53400,69600,30800,5500,57800,43201,9500,42000,41800,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,6.77,6.76,13400,33800,15300,6800,25000,66600,2500,7100,3100,1100,4,7,80,6,13,6,5,4,3,6,22,11,12,7,5,2,6,1,1,5,5190.0,40.0,-1,-1,-1,-1,-1,-1,-1,-1,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,-1,-1,147,423600,6.866338526912181,2908581.0,53,7071580.0,10,18000,6.863944444444445,123551.0,5,450.0,90.0,25236.218187430295
6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,53400,69600,30800,5500,57800,43201,9500,42000,41800,7600,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,10000,2600,13700,33200,15300,6800,25000,66600,2500,7100,4,7,80,6,13,6,5,4,3,6,22,11,12,7,5,2,6,1,1,5,40.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.838709677419355,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,166,440900,6.866482195509186,3027432.0,54,7071620.0,19,17300,6.87,118851.0,1,40.0,40.0,30555.172255854704
6.88,6.87,6.87,6.87,6.87,6.88,6.88,6.88,6.87,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,62200,81600,30800,5500,57800,43201,9500,42000,41800,7600,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,13100,2700,13700,33200,15300,6800,25000,67600,2500,7100,4,7,80,6,13,6,5,4,3,6,23,11,12,7,5,2,6,1,1,5,40.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,239.6875,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,171,444200,6.866535344439442,3050115.0,55,7079140.0,5,3300,6.873636363636364,22683.0,1,7520.0,7520.0,33214.04592161861
6.88,6.87,6.87,6.87,6.87,6.88,6.88,6.88,6.87,6.87,6.88,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,60400,81600,30800,5500,57800,43201,9500,42000,41800,7600,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.78,10700,2700,13700,33200,15300,6800,25000,67600,2500,7100,4,7,81,6,13,6,5,4,3,6,23,11,12,7,5,2,6,1,1,5,40.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,464.8484848484849,2760.5555555555557,1.6666666666666667,405866.6666666667,-1,-1,-1,-1,-1,-1,177,449500,6.866639964396974,3086555.0,56,7086810.0,6,5300,6.875471698113207,36440.0,1,7670.0,7670.0,32593.028715947108
