timestamp,trade_price,preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
20230728093003000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.71,6.71,6.71,6.73,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,19800,100,2100,6000,8000,8600,16500,42600,9400,7000,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,52600,63500,17800,47000,122000,23100,11600,32200,14100,8300,68,6,3,4,3,5,7,20,15,4,14,12,4,14,3,4,2,11,2,2,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,56500,6.713911504424779,379336.0,5,34930.0,21,56500,6.713911504424779,379336.0,5,34930.0,6986.0,22642.469531623385
20230728093006000,6.71,6.72,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.71,6.71,6.71,6.72,6.73,6.75,6.76,6.77,6.78,6.79,6.8,6.81,21400,600,600,13400,6000,8000,8600,16500,45600,9400,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,52700,64500,18800,47000,123600,23100,11600,32200,14100,18300,68,6,3,4,3,5,7,21,15,4,14,12,4,14,3,4,2,11,2,2,134.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,65200,6.713496932515337,437720.0,22,38680.0,26,8700,6.7108045977011495,58384.0,17,3750.0,220.58823529411765,23041.291620200733
20230728093009000,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.71,6.73,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,21400,600,13400,6000,8000,8600,16500,45600,9400,7000,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,4100,300,52700,64500,18800,47000,123600,23100,11600,32200,68,6,3,4,3,5,7,21,15,4,15,12,4,14,3,4,2,11,2,2,118.23529411764706,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,-1,49,67700,6.713496932515337,454520.0,22,38680.0,2,2500,6.713496932515337,16800.0,0,-1,-1,21470.918631511868
20230728093012000,6.74,6.73,6.74,6.74,6.74,6.74,6.72,6.72,6.74,6.72,6.74,6.71,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,9400,13400,6000,8000,8600,16500,45600,9400,7000,2800,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,1500,5500,700,52700,64500,18800,47000,123600,23100,11600,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,11,2,2,111.66666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,59,79900,6.715863808322824,536612.0,24,654900.0,10,12200,6.728852459016394,82092.0,2,616220.0,308110.0,18411.818942169826
20230728093015000,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.71,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,8900,100,9400,13400,6000,8000,8600,16500,45600,9400,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,5800,700,52600,64500,18800,47000,123600,23100,11600,32200,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,11,2,2,105.78947368421052,205406.66666666666,-1,-1,-1,-1,-1,-1,-1,-1,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,-1,61,88400,6.715863808322824,593817.0,24,654900.0,2,8500,6.715863808322824,57205.0,0,-1,-1,16831.565636450534
20230728093018000,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.71,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6900,3200,9400,13400,6000,8000,8600,16500,45600,9400,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,11700,700,52600,64500,18800,47000,123600,23100,11600,32200,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,11,2,2,105.78947368421052,154620.0,-1,-1,-1,-1,-1,-1,-1,-1,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,-1,66,90400,6.71766592920354,607277.0,28,660390.0,5,2000,6.73,13460.0,4,5490.0,1372.5,20019.569459933085
20230728093021000,6.73,6.73,6.73,6.73,6.73,6.73,6.72,6.72,6.73,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,10400,13400,6000,8000,8600,16500,67600,9400,7000,2800,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,2100,9300,700,52600,64500,18800,47000,123600,23100,11600,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,11,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,269.1666666666667,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,73,100600,6.7186779324055665,675899.0,30,663490.0,7,10200,6.727647058823529,68622.0,2,3100.0,1550.0,18388.564401784293
20230728093024000,6.73,6.72,6.73,6.73,6.73,6.73,6.72,6.72,6.73,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,6.83,10400,15900,6000,8000,8600,16500,67600,9400,7000,2800,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,8100,700,52600,64500,18800,47000,124600,26100,11600,32200,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,-1,75,103800,6.7186779324055665,697420.0,30,663490.0,2,3200,6.7186779324055665,21521.0,0,-1,-1,19722.687987892306
20230728093027000,6.72,6.73,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,800,10400,15900,6000,8000,8600,16500,67600,9400,7000,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,8300,700,52600,64500,18800,47000,124600,26100,11600,32200,68,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,12,2,2,88797.14285714286,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,-1,76,103900,6.7186779324055665,698092.0,30,663490.0,1,100,6.7186779324055665,672.0,0,-1,-1,20889.615859487014
20230728093030000,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.82,800,10500,15900,6000,8000,8600,16500,67600,9400,7000,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,100,8300,700,52600,64500,18800,47000,124600,26100,11600,69,6,3,4,3,5,7,21,15,4,16,12,4,14,3,4,2,12,2,2,69064.44444444444,-1,-1,-1,-1,-1,-1,-1,-1,-1,269.1666666666667,0.0,2444.6666666666665,-1,-1,-1,-1,-1,-1,-1,78,111900,6.719678284182305,751932.0,30,663490.0,2,8000,6.719678284182305,53840.0,0,-1,-1,20908.016369284687
