preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
6.89,6.89,6.89,6.89,6.89,6.91,6.9,6.92,6.88,6.89,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,3700,11000,500,100900,1900,5100,12400,6600,9000,90100,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,58400,20700,25600,44500,44200,19500,24200,41700,100700,52800,27,13,88,15,5,18,5,17,6,2,1,5,9,8,6,15,17,7,2,2,95.0,45.0,5.0,901870.0,-1,-1,-1,-1,-1,-1,993120.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,198900,6.896535947712418,1371721.0,28,9296190.0,98,198900,6.896535947712418,1371721.0,28,9296190.0,332006.78571428574,24927.869603313688
6.89,6.89,6.89,6.89,6.89,6.9,6.9,6.91,6.88,6.89,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,10500,22900,500,102900,3900,5200,12900,6600,9000,96200,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,61300,20700,26400,44500,44200,29500,24200,51800,102700,52800,29,14,88,15,5,19,5,19,6,2,1,5,9,9,6,15,19,7,2,2,92.3529411764706,27.692307692307693,5.0,901870.0,-1,-1,-1,-1,-1,-1,993120.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,255400,6.896401722787784,1761341.0,35,9300220.0,31,56500,6.895929203539823,389620.0,7,4030.0,575.7142857142857,28111.790066910948
6.9,6.91,6.91,6.91,6.91,6.9,6.9,6.91,6.89,6.91,6.9,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,2900,105900,3900,5200,12900,6600,9000,96200,66000,82000,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,2100,1300,73200,20700,26600,54500,44200,29500,24200,51800,29,14,88,15,5,19,5,19,6,2,1,5,9,9,6,16,19,7,2,2,168.88888888888889,901870.0,-1,-1,-1,-1,-1,-1,-1,-1,48.035714285714285,248902.5,993120.0,-1,-1,-1,-1,-1,-1,-1,146,288400,6.89638346727899,1989286.0,41,9304740.0,17,33000,6.907424242424242,227945.0,6,4520.0,753.3333333333334,28212.77680420583
6.94,6.94,6.94,6.94,6.94,6.91,6.91,6.94,6.91,6.94,6.92,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,46600,12900,6600,9000,96200,66000,82000,1200,21200,29200,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,156200,42500,1400,73200,20700,26600,54500,45300,29500,25700,29,14,89,15,5,19,5,19,6,2,1,5,9,9,6,16,19,7,2,2,766742.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,-1,-1,-1,202,363900,6.901203650884199,2511864.0,57,10682830.0,56,75500,6.921562913907285,522578.0,16,1378090.0,86130.625,41004.56926079337
6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.93,6.94,6.92,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,21600,12900,6600,9000,96200,66000,82000,1200,21200,29200,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,200,17200,157800,42300,3400,73200,20700,26600,59100,45300,29,14,89,15,5,19,5,19,6,2,1,5,9,10,7,16,19,7,2,2,766742.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,-1,234,388900,6.901203650884199,2685351.0,57,10682830.0,32,25000,6.901203650884199,173487.0,0,-1,-1,31204.73155966226
6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.93,6.94,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,3200,12900,15300,9000,97800,66000,82000,1200,21200,29200,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,10500,16300,157800,44300,3400,73200,20700,26600,59100,45300,29,14,89,15,5,19,5,20,6,2,1,5,9,10,33,16,19,7,2,2,19610.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,-1,277,418400,6.905035952747817,2889942.0,58,10702440.0,43,29500,6.93528813559322,204591.0,1,19610.0,19610.0,30079.277521108812
6.93,6.94,6.94,6.94,6.94,6.94,6.94,6.95,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,7.04,10100,20800,9000,96200,66000,82000,1200,21200,29200,1200,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,1000,32900,157800,44800,3400,73200,20700,26600,60100,45300,29,14,89,15,5,19,5,20,6,2,1,5,10,10,36,16,19,7,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6650.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,-1,309,466300,6.910180141539781,3222217.0,68,10726570.0,32,47900,6.936847599164927,332275.0,10,24130.0,2413.0,30058.511231480003
6.94,6.94,6.94,6.94,6.94,6.93,6.93,6.94,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,7.04,10100,21400,9000,96200,66000,82000,1200,21200,29200,1200,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,36000,157800,48000,3400,73200,20700,26600,60100,45300,30100,29,14,89,15,5,19,5,20,6,2,1,5,10,10,36,16,19,7,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,-1,-1,325,498400,6.911781701444623,3444832.0,71,10734470.0,16,32100,6.935046728971963,222615.0,3,7900.0,2633.3333333333335,37118.41444957783
6.94,6.94,6.94,6.94,6.94,6.94,6.93,6.94,6.93,6.94,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,500,12400,26800,9100,96300,66000,82300,1200,21200,29200,6.94,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,600,35300,157800,48000,3400,73200,20700,26600,60100,45300,30,14,89,15,5,19,5,21,6,2,1,5,10,10,36,16,19,7,2,2,3484.5454545454545,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09345794392523364,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,-1,333,502800,6.911781701444623,3475344.0,71,10734470.0,8,4400,6.911781701444623,30512.0,0,-1,-1,34766.83427592799
6.94,6.95,6.95,6.95,6.95,6.95,6.94,6.95,6.94,6.95,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,7.04,11800,33300,9100,96300,61000,82300,1200,21200,29200,1200,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,1300,35300,157800,46000,3400,72200,20700,26600,60100,45300,30,14,89,16,5,19,5,21,6,2,1,5,10,10,37,16,19,7,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6650.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,-1,339,507100,6.912209944751381,3505193.0,72,10734640.0,6,4300,6.941627906976744,29849.0,1,170.0,170.0,31038.393141628163
6.94,6.95,6.95,6.95,6.95,6.94,6.94,6.95,6.94,6.95,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,7.04,400,33500,9100,96300,61000,82300,1200,21200,29200,1200,6.94,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,4600,1300,37300,157800,46000,3400,72200,20700,28100,60100,30,14,90,16,5,19,5,21,6,2,1,5,10,10,37,16,19,7,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09345794392523364,6650.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,348,521400,6.912209944751381,3604560.0,72,10734640.0,9,14300,6.912209944751381,99367.0,0,-1,-1,32926.788274653496
6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.95,6.94,6.94,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,22600,500,33500,9600,96300,61000,81800,6200,21200,29200,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,1300,37300,157800,46000,3400,72200,20700,28100,60100,45300,30,14,90,16,5,19,5,21,6,2,1,5,10,10,37,16,19,7,2,2,1925.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6650.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,-1,361,536400,6.914075316927666,3708710.0,75,10742740.0,13,15000,6.943333333333333,104150.0,3,8100.0,2700.0,37277.244304604115
6.96,6.96,6.96,6.96,6.96,6.95,6.95,6.96,6.94,6.96,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,7.04,4900,40400,9600,96300,61000,82200,6200,21200,29200,1200,6.94,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,11600,1800,37300,157800,55800,1900,72200,20700,28100,61000,31,15,90,16,5,19,5,21,7,2,1,5,10,10,38,16,19,7,2,2,19880.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,73.72727272727273,6650.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,379,580200,6.915322667625382,4013135.0,80,10842140.0,18,43800,6.950342465753424,304425.0,5,99400.0,19880.0,35759.97391269714
6.94,6.94,6.94,6.94,6.94,6.95,6.95,6.95,6.94,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,7.04,5100,42400,11600,96300,82300,82200,6200,21200,29200,1200,6.94,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,19400,2300,37300,157800,55800,1900,72800,22700,28100,61000,31,15,91,16,5,19,5,21,7,2,1,6,10,10,39,17,19,7,2,2,19880.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,114.41441441441441,6650.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,383,586400,6.9170753751705325,4056173.0,81,10846730.0,4,6200,6.941612903225806,43038.0,1,4590.0,4590.0,37942.73438744623
6.95,6.94,6.94,6.94,6.94,6.95,6.95,6.95,6.94,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,7.04,800,42500,11600,96600,84300,82200,6200,21200,29200,1700,6.94,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,900,2300,37300,157800,54600,600,97900,22700,30300,61000,31,17,92,16,5,19,5,22,7,2,1,6,10,10,39,17,19,7,2,2,19880.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,605.4700854700855,6650.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,404,633000,6.918967425679949,4379719.0,87,10904870.0,21,46600,6.9430472103004295,323546.0,6,58140.0,9690.0,33352.38171100844
6.94,6.95,6.95,6.95,6.95,6.94,6.94,6.95,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,7.04,7.05,42500,16800,96600,84300,82700,6200,21200,29200,1700,25700,6.94,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6200,3100,37300,157800,54600,600,97900,22700,30300,61000,32,17,92,16,5,19,5,22,7,2,1,6,10,10,40,17,19,7,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2235.0,6650.0,0.0,486.2962962962963,48.035714285714285,248902.5,993120.0,-1,-1,-1,451,660200,6.9200333232353834,4568606.0,118,11166980.0,47,27200,6.944375,188887.0,31,262110.0,8455.161290322581,33798.75935956668
