timestamp,trade_price,preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
20230704093003000,6.72,6.72,6.71,6.71,6.71,6.71,6.72,6.73,6.73,6.71,6.71,6.69,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,20200,56900,64800,23700,24300,40000,131600,17200,40800,86300,6.81,6.74,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,1800,86500,5400,17300,17500,25400,31500,21300,25900,200,28,13,18,16,6,5,78,29,14,11,2,2,4,13,6,9,3,2,3,13,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,22,25700,6.723774319066147,172801.0,0,0,22,25700,6.723774319066147,172801.0,0,-1,-1,35754.60012744942
20230704093006000,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.72,6.72,6.7,6.71,6.69,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6700,62600,66700,56600,27700,24300,49000,131600,17200,133300,6.74,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,75000,500,14700,57600,27400,31500,23300,25900,200,19100,28,13,20,16,6,5,83,30,15,11,2,2,4,13,7,9,4,2,3,14,-1,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0.0,236.66666666666666,-1,-1,-1,-1,-1,-1,-1,-1,32,39200,6.719234693877551,263394.0,1,710.0,10,13500,6.710592592592593,90593.0,1,710.0,710.0,40614.25541660028
20230704093009000,6.7,6.69,6.7,6.7,6.7,6.7,6.71,6.71,6.71,6.69,6.7,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,13400,87000,44100,58100,27700,24300,49000,131600,22400,138300,6.74,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,17000,57500,27900,31500,23300,35900,200,19100,1200,8000,28,13,20,16,6,5,83,30,15,11,2,2,4,13,8,10,4,2,3,15,26.176470588235293,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,97300,6.707749229188078,652664.0,9,290050.0,43,58100,6.7,389270.0,8,289340.0,36167.5,39061.18069937868
20230704093012000,6.7,6.69,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,13400,87000,44100,58100,27700,24300,49000,131600,22400,138300,6.74,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,17000,57500,27900,31500,23300,35900,200,19100,1200,8000,28,13,20,16,6,5,83,30,15,11,2,2,4,13,8,10,4,2,3,15,26.176470588235293,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,97300,6.707749229188078,652664.0,9,290050.0,0,0,-1,0.0,0,-1,-1,39061.18069937868
20230704093015000,6.69,6.7,6.69,6.69,6.69,6.69,6.7,6.7,6.7,6.69,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,12800,88800,44100,53100,27700,24300,49000,131600,22400,138300,6.74,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,1300,45200,27900,31500,23300,40900,200,19100,1200,8000,28,13,21,16,6,5,83,30,15,11,2,2,4,13,8,11,4,2,3,15,192.57142857142858,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,113000,6.705504424778761,757722.0,10,295900.0,4,15700,6.691592356687898,105058.0,1,5850.0,5850.0,37124.52704317348
20230704093018000,6.7,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,13700,88800,44100,53100,27700,15200,49000,131600,22400,139000,6.74,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,1200,45100,27900,31500,23300,40900,200,19100,1200,8000,28,13,21,16,6,5,83,30,15,11,2,2,4,13,8,11,4,2,3,15,192.57142857142858,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,113100,6.705490716180371,758391.0,10,295900.0,1,100,6.705490716180371,669.0,0,-1,-1,37029.38804365142
20230704093021000,6.7,6.69,6.7,6.7,6.7,6.7,6.69,6.69,6.7,6.69,6.7,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,13600,90800,44200,53100,27700,15200,49000,131600,22400,139000,6.74,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,200,44700,27900,31500,23300,43300,200,19100,1200,8000,28,13,21,16,6,5,83,30,15,11,2,2,4,13,8,12,4,2,3,15,751.8918918918919,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,114100,6.7053859649122804,765084.0,12,316980.0,4,1000,6.693,6693.0,2,21080.0,10540.0,37142.09116616218
20230704093024000,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,34100,90800,44200,53100,27700,15200,49000,131600,22400,139000,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,46000,26900,31500,24300,43300,200,19100,1200,8000,8400,28,13,21,16,6,5,83,30,15,11,2,2,4,13,8,12,4,2,3,15,751.8918918918919,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,119900,6.7051209341117595,803944.0,12,316980.0,7,5800,6.7051209341117595,38860.0,0,-1,-1,40077.30105942329
20230704093027000,6.69,6.7,6.69,6.69,6.69,6.69,6.69,6.69,6.7,6.69,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,36400,90200,44200,53100,27700,15200,49000,131600,22400,139000,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,25300,26900,31500,24800,43300,200,19100,1200,8000,8400,28,13,21,16,6,5,83,30,15,11,2,2,4,13,8,12,4,2,3,15,1036.842105263158,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,131,141800,6.702857142857143,950460.0,16,406260.0,40,21900,6.690228310502283,146516.0,4,89280.0,22320.0,31651.58913493707
20230704093030000,6.69,6.7,6.69,6.69,6.69,6.69,6.69,6.69,6.7,6.69,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6000,90000,44200,53100,27700,15200,49000,131600,22400,139000,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,25500,49500,31500,24800,43300,200,19100,1200,8000,8400,28,13,21,16,6,5,83,30,15,11,2,2,4,13,8,12,4,2,3,16,2436.4150943396226,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,169,181500,6.701669421487603,1216353.0,31,495990.0,38,39700,6.697556675062972,265893.0,15,89730.0,5982.0,30349.75306675163
20230704093033000,6.7,6.69,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.69,6.7,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,1200,96600,44200,53100,27700,15200,49000,131600,22400,139000,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,6.6,56600,49500,31600,24800,43300,200,19100,1200,8000,8400,28,13,21,16,6,5,83,30,15,11,2,2,4,13,8,12,4,2,3,16,2431.8518518518517,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,25900.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,177,189400,6.701568109820486,1269277.0,36,499750.0,8,7900,6.699240506329114,52924.0,5,3760.0,752.0,40910.83519197069
20230704093036000,6.72,6.71,6.72,6.72,6.72,6.72,6.71,6.71,6.72,6.71,6.72,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,59400,40000,53100,28700,15200,49000,131600,22400,139000,88800,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,141000,7100,56800,49500,31600,24800,307000,200,19100,1200,28,13,22,16,6,5,83,30,15,11,2,2,4,13,8,14,4,2,3,16,6650.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,43.46153846153846,15264.21052631579,25900.0,-1,-1,-1,-1,-1,-1,-1,203,225700,6.703080337328007,1512892.0,40,513470.0,26,36300,6.711157024793389,243615.0,4,13720.0,3430.0,61869.88609208221
20230704093039000,6.72,6.71,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.71,6.72,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,55900,38000,54000,28700,15200,49000,131600,22400,139100,88800,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,14900,158800,10000,56700,49500,36500,24800,307000,200,19100,28,13,22,16,6,5,83,30,15,11,2,2,4,13,8,14,4,2,3,16,6650.0,8471.666666666666,0.0,-1,-1,-1,-1,-1,-1,-1,0.0,43.46153846153846,15264.21052631579,25900.0,-1,-1,-1,-1,-1,-1,208,229200,6.703302792321117,1536397.0,42,564300.0,5,3500,6.715714285714285,23505.0,2,50830.0,25415.0,58829.45176836069
20230704093042000,6.73,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,45200,38000,53100,28700,15200,49000,131600,22400,139100,88800,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,12400,148700,10000,57600,49500,36500,24800,308000,200,19100,28,13,22,16,6,5,83,30,15,11,2,2,4,13,8,14,4,2,3,16,6650.0,2210.0,0.0,-1,-1,-1,-1,-1,-1,-1,746.4705882352941,43.46153846153846,15264.21052631579,25900.0,-1,-1,-1,-1,-1,-1,230,239900,6.703818181818182,1608301.0,47,576990.0,22,10700,6.72,71904.0,5,12690.0,2538.0,56400.584475067706
20230704093045000,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,43600,36400,51500,28700,15200,49000,131600,22400,139100,88800,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,16300,148700,9900,57600,53000,36500,24800,308000,200,19100,28,13,22,16,6,5,83,30,15,11,2,2,4,13,8,15,4,2,3,17,6650.0,2210.0,0.0,-1,-1,-1,-1,-1,-1,-1,746.4705882352941,43.46153846153846,15264.21052631579,25900.0,-1,-1,-1,-1,-1,-1,236,241500,6.703818181818182,1619069.0,47,576990.0,6,1600,6.703818181818182,10768.0,0,-1,-1,56441.0655966226
20230704093048000,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,6.8,42900,35700,50800,28700,15200,49000,131600,22400,139100,88800,6.78,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,300,22100,148700,9900,56400,58100,37000,24800,308000,200,28,13,22,16,6,5,83,30,15,11,2,2,4,13,8,15,4,2,3,19,6650.0,2210.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,746.4705882352941,43.46153846153846,15264.21052631579,25900.0,-1,-1,-1,-1,-1,236,242200,6.703818181818182,1623780.0,47,576990.0,0,700,6.703818181818182,4711.0,0,-1,-1,52217.16086506293
