timestamp,preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
20230809093006000,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,2300,300,300,5400,11300,8000,1000,1000,93100,4000,6.74,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,700,2000,31200,46200,35100,13200,20400,1900,29200,16200,52,5,12,2,2,11,6,2,6,2,18,13,4,0,7,1,9,5,8,6,410110.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,129326.92307692308,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,58500,6.736691176470588,394070.0,4,1342380,1,300,6.736691176470588,2019.0,0,-1,-1,11644.698900748766
20230809093009000,6.73,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.73,6.74,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,2300,300,300,5400,11300,8000,1000,1000,93100,4000,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,1500,31200,46200,35100,13200,20400,1900,29200,16200,5100,52,5,12,2,2,11,6,2,6,2,18,13,4,0,7,1,9,5,8,6,410110.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,61300,6.736691176470588,412919.0,4,1342380,3,2800,6.736691176470588,18849.0,0,-1,-1,11831.004062450216
20230809093012000,6.74,6.73,6.73,6.73,6.73,6.73,6.73,6.74,6.73,6.73,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,9800,300,300,5400,11300,8000,1000,1000,93100,4000,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,2000,31200,46200,35100,15000,20400,1900,29700,16200,5100,52,5,12,2,2,11,6,2,6,2,18,13,4,0,8,1,9,5,8,6,410110.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,73200,6.736691176470588,493032.0,4,1342380,8,11900,6.736691176470588,80113.0,0,-1,-1,16711.258363868088
20230809093015000,6.74,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,6.83,6.84,9800,300,300,5400,11300,8000,1000,1000,93100,4000,6.73,6.72,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,2000,31200,46200,35100,15000,20400,1900,29700,16200,5100,52,5,12,2,2,11,6,2,6,2,18,13,4,0,8,1,9,5,8,6,410110.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,73200,6.736691176470588,493032.0,4,1342380,0,0,-1,0.0,0,-1,-1,13640.03903138442
20230809093018000,6.72,6.72,6.72,6.71,6.71,6.72,6.72,6.73,6.71,6.71,6.72,6.73,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,37900,49200,40200,300,300,5400,11300,8000,1000,1000,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,44800,39700,15000,20400,1900,29700,16200,5100,17400,4900,52,5,12,2,2,11,6,2,6,2,19,12,4,0,8,1,9,5,8,6,7155.238095238095,5692.0,410110.0,-1,-1,-1,-1,-1,-1,-1,1515970.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,117200,6.729580479452054,788699.0,7,2887170,25,44000,6.719704545454546,295667.0,3,1544790,514930.0,23639.90959056874
20230809093021000,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.72,6.73,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,40100,54400,40200,300,300,5400,11300,8000,1000,1000,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,42900,39700,15000,20400,1900,29700,16200,5100,17400,4900,52,5,12,2,2,11,6,2,6,2,19,12,4,0,8,1,9,5,8,6,7155.238095238095,5692.0,410110.0,-1,-1,-1,-1,-1,-1,-1,1515970.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,119100,6.729580479452054,801448.0,7,2887170,1,1900,6.729580479452054,12749.0,0,-1,-1,24762.340688226857
20230809093024000,6.72,6.71,6.71,6.71,6.71,6.72,6.72,6.72,6.71,6.71,6.72,6.73,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,23700,54400,40200,300,300,5400,11300,8000,1000,1000,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,40200,39700,15000,20400,1900,29700,16200,5100,17400,4900,52,5,12,2,2,11,6,2,6,2,19,12,4,0,8,1,9,5,8,6,7056.363636363636,5692.0,410110.0,-1,-1,-1,-1,-1,-1,-1,1515970.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,123200,6.729118136439268,828973.0,8,2892150,3,4100,6.713414634146342,27525.0,1,4980,4980.0,20069.45495459614
20230809093027000,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.73,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,17000,54400,39900,300,300,5400,11300,8000,1000,1000,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,40200,39700,15000,20400,1900,29700,16200,5100,17400,4900,52,5,12,2,2,11,6,2,6,2,19,12,4,0,8,1,9,5,8,6,6984.782608695652,5692.0,410110.0,-1,-1,-1,-1,-1,-1,-1,1515970.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,135200,6.727906804733728,909613.0,9,2897560,3,12000,6.72,80640.0,1,5410,5410.0,19469.804444798472
20230809093030000,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.73,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,19800,54400,39900,300,300,5400,11300,8000,1000,1000,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,40200,42200,15000,21900,1900,29700,16200,5100,17400,4900,52,5,12,2,2,11,6,2,6,2,21,12,4,0,8,1,9,5,9,7,6984.782608695652,5692.0,410110.0,-1,-1,-1,-1,-1,-1,-1,1515970.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,135200,6.727906804733728,909613.0,9,2897560,0,0,-1,0.0,0,-1,-1,21878.06077744145
20230809093033000,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.73,6.74,6.75,6.77,6.78,6.79,6.8,6.81,6.82,19800,65400,43000,300,300,5400,11300,8000,1000,1000,6.71,6.7,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,40200,42400,15000,21900,1900,29700,16200,5100,17400,4900,52,5,12,2,2,11,6,2,6,2,22,12,4,0,8,1,9,5,9,7,6984.782608695652,5692.0,410110.0,-1,-1,-1,-1,-1,-1,-1,1515970.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,135200,6.727906804733728,909613.0,9,2897560,0,0,-1,0.0,0,-1,-1,23179.896845626885
