preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
10.99,10.99,10.99,10.98,10.98,10.97,10.95,11.14,10.86,10.98,10.9,10.99,11.1,11.12,11.14,11.15,11.16,11.17,11.18,11.19,113106,11300,17300,2000,8300,23000,3300,9800,265642,1400,10.98,10.97,10.96,10.95,10.94,10.93,10.92,10.91,10.9,10.89,700,1900,8000,280612,135900,21900,9100,26500,47300,3500,443,0,52,17,0,0,0,0,21,16,7,164,2,0,1,0,93,14,3,3,15396.612903225807,1.9753086419753085,0.0,-1,718100.0,-1,-1,-1,-1,-1,2113.181818181818,1525.056179775281,1773.75,2350.1271186440677,120165.14285714286,0.0,-1,0.0,220518.0,277740.0,2015,3428169,10.965078714030726,37590142.93,883,159233960,1669,2492105,10.973778701138194,27347808.77,668,24263530,36322.649700598806,71934.91285211104
11.08,11.08,11.08,11.08,11.08,11.05,11.05,11.15,10.99,11.08,11.12,11.16,11.17,11.18,11.19,11.2,11.21,11.22,11.23,11.24,1800,3300,9800,265642,1400,13400,178400,19500,11200,92300,11.08,11.04,11.03,11.01,11.0,10.99,10.98,10.97,10.96,10.95,5300,3800,11300,2000,110400,5700,5500,18800,24700,331512,455,0,54,17,0,0,0,0,21,17,7,164,2,0,1,0,99,14,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7483.333333333333,6630.0,8122.5,42773.87096774193,53780.173410404626,2600.655737704918,2113.181818181818,1525.056179775281,1773.75,2350.1271186440677,2140,3562369,10.969980630866706,39079118.93,943,161092030,125,134200,11.095201192250373,1488976.0,60,1858070,30967.833333333332,16981.77364471914
11.11,11.14,11.14,11.14,11.14,11.11,11.08,11.2,11.08,11.14,11.14,11.16,11.18,11.2,11.21,11.22,11.23,11.24,11.25,11.26,52800,700,23800,9800,178400,19500,11200,99500,21300,4200,11.11,11.1,11.09,11.08,11.07,11.06,11.05,11.04,11.03,11.02,24700,23300,200,26200,2000,5000,5900,9200,69500,11300,459,0,54,17,0,0,0,0,21,17,7,164,2,0,1,0,99,14,3,3,375015.71428571426,13.333333333333334,414612.3076923077,138810.58823529413,-1,-1,-1,-1,-1,-1,18742.5,10411.42857142857,73863.33333333333,7483.333333333333,37.0,38.57142857142857,1.4285714285714286,6630.0,8122.5,10769.5,2307,4614269,11.016528930151233,50833227.93,1023,170421710,167,1051900,11.17416959787052,11754109.0,80,9329680,116621.0,38414.03845777777
10.99,10.99,10.99,10.99,10.99,11.2,11.2,11.2,10.98,10.99,10.99,11.0,11.06,11.1,11.11,11.12,11.13,11.14,11.15,11.17,50300,77400,100,100,8396,5700,44500,42000,9700,24800,11.03,11.0,10.98,10.97,10.96,10.95,10.94,10.93,10.92,10.91,1204,64508,5800,19300,30400,338312,133200,22400,9600,26600,461,0,55,18,0,0,0,0,21,18,7,164,2,0,1,0,99,14,3,3,1.7297297297297298,152366.0,1680.0,0.0,39.0,-1,547980.0,375015.71428571426,64989.0,2496.25,7842.413793103448,52864.65909090909,2113.181818181818,1525.056179775281,1773.75,2350.1271186440677,120165.14285714286,0.0,-1,0.0,2449,4788169,11.018167146982488,52756846.37,1061,170548260,142,173900,11.061635652673937,1923618.4399999976,38,126550,3330.2631578947367,44805.72317167627
10.95,10.95,10.95,10.95,10.95,10.97,10.97,10.97,10.93,10.95,10.94,10.95,10.97,10.99,11.0,11.02,11.06,11.1,11.11,11.12,1300,100303,2400,67300,80100,300,1800,100,8396,16200,10.93,10.92,10.91,10.9,10.89,10.88,10.87,10.86,10.85,10.84,17700,9600,27000,49900,3700,12900,12800,8000,18200,13100,466,0,55,18,1,0,0,0,22,18,7,164,2,0,1,0,99,14,3,3,9.281767955801104,16445.277777777777,379956.92307692306,1.7297297297297298,152366.0,10.0,1680.0,0.0,39.0,-1,0.0,-1,0.0,220518.0,277740.0,849200.0,-1,-1,-1,-1,2822,5579860,11.008309310627864,61424824.78999999,1332,175784470,373,791691,10.948688844511299,8667978.419999994,271,5236210,19321.808118081182,17871.22369180932
10.92,10.9,10.9,10.9,10.9,10.94,10.94,10.95,10.88,10.9,10.9,10.92,10.93,10.94,10.95,10.97,10.98,10.99,11.0,11.02,3800,4800,22500,600,21200,18700,1000,71000,94100,1300,10.89,10.88,10.87,10.86,10.85,10.84,10.83,10.82,10.81,10.8,3600,12800,12800,8000,17500,13100,17300,16300,65000,122200,469,0,55,18,1,0,0,0,22,18,7,164,2,0,1,0,99,14,3,3,13640.714285714286,17388.333333333332,3.75,10.591397849462366,11781.509433962265,379956.92307692306,24.166666666666668,1.7297297297297298,152366.0,10.0,277740.0,849200.0,-1,-1,-1,-1,-1,-1,-1,-1,2989,5931860,11.003506959031398,65271262.78999999,1399,176726350,167,352000,10.927380681818182,3846438.0,67,941880,14057.910447761195,10100.949215002125
10.85,10.83,10.83,10.82,10.82,10.88,10.88,10.93,10.82,10.82,10.87,10.88,10.89,10.9,10.91,10.92,10.93,10.94,10.95,10.96,2000,195500,300,14500,100,3100,236900,14900,19800,7500,10.87,10.86,10.85,10.84,10.83,10.82,10.81,10.8,10.79,10.78,2000,500,13100,6900,16800,16100,65000,180900,700,9900,469,0,56,18,1,0,0,0,22,19,7,164,2,0,1,0,99,14,3,3,6418.571428571428,18427.14285714286,8503.636363636364,13081.506849315068,2103.3333333333335,13108.125,64.50980392156863,10.591397849462366,11781.509433962265,25067.82608695652,-1,550.0,-1,32840.0,-1,-1,-1,-1,-1,-1,3076,6014460,11.002042821313694,66171060.78999999,1421,176863880,87,82600,10.893438256658596,899798.0,22,137530,6251.363636363636,17463.572304054367
10.84,10.81,10.81,10.81,10.81,10.82,10.83,10.85,10.81,10.81,10.82,10.84,10.85,10.86,10.87,10.88,10.89,10.9,10.91,10.92,3900,900,36600,6900,70300,203700,1600,120100,2900,3100,10.8,10.79,10.78,10.77,10.76,10.75,10.74,10.73,10.72,10.71,181000,1000,9900,19100,10200,26900,3600,12200,20500,37300,472,0,56,19,1,0,0,0,22,19,7,164,2,0,1,0,99,14,3,3,26345.0,32194.0,9935.714285714286,28584.0,6418.571428571428,18427.14285714286,8503.636363636364,13081.506849315068,2103.3333333333335,13108.125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3172,6250860,10.994936663115155,68727809.78999999,1454,177512880,96,236400,10.815351099830796,2556749.0,33,649000,19666.666666666668,27941.240226707414
10.84,10.81,10.81,10.81,10.81,10.8,10.8,10.87,10.8,10.81,10.84,10.85,10.87,10.88,10.89,10.9,10.91,10.92,10.93,10.94,64600,57400,63800,72800,1600,105700,1900,3100,377800,15600,10.81,10.8,10.79,10.78,10.77,10.76,10.75,10.74,10.73,10.72,1000,147000,600,10300,19100,10200,26900,4500,11700,20500,475,0,56,20,1,0,0,0,22,20,7,164,2,0,1,0,101,14,3,3,26955.0,5062.142857142857,6291.111111111111,18427.14285714286,8503.636363636364,13081.506849315068,2103.3333333333335,13108.125,64.50980392156863,10.591397849462366,15238.5,612153.3333333334,-1,-1,-1,-1,-1,-1,-1,-1,3306,6441260,10.990169903093493,70790541.78999999,1507,183045920,134,190400,10.833676470588236,2062732.0,53,5533040,104396.98113207547,25553.064063782855
10.78,10.78,10.79,10.78,10.79,10.82,10.82,10.83,10.78,10.79,10.79,10.81,10.82,10.83,10.84,10.85,10.87,10.88,10.89,10.9,180800,10500,500,134300,69600,68800,63800,73300,1600,101200,10.8,10.78,10.77,10.76,10.75,10.74,10.73,10.72,10.71,10.7,62500,8400,19400,11700,27700,4500,10300,20500,37300,63600,477,0,57,20,1,0,0,0,22,20,7,164,2,0,1,0,101,14,3,3,31810.0,8828.727272727272,9036.111111111111,45126.666666666664,26955.0,5062.142857142857,6291.111111111111,18427.14285714286,8503.636363636364,13081.506849315068,291208.94736842107,1549060.0,-1,-1,-1,-1,-1,-1,-1,-1,3453,6695960,10.983428782430002,73544599.78999999,1556,184787780,147,254700,10.8129485669415,2754058.0,49,1741860,35548.163265306124,107816.52839865582
