time,last_price,volume,money,bid1_price,bid2_price,bid3_price,bid4_price,bid5_price,bid1_volume,bid2_volume,bid3_volume,bid4_volume,bid5_volume,ask1_price,ask2_price,ask3_price,ask4_price,ask5_price,ask1_volume,ask2_volume,ask3_volume,ask4_volume,ask5_volume
85615000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
85715000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90015000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90115000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90515000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90615000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
90915000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91015000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91415000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
91509000,0.0,0,0.0,56.77,0.0,0.0,0.0,0.0,2900,200,0,0,0,56.77,0.0,0.0,0.0,0.0,2900,0,0,0,0
91603000,0.0,0,0.0,56.77,0.0,0.0,0.0,0.0,2900,1700,0,0,0,56.77,0.0,0.0,0.0,0.0,2900,0,0,0,0
91630000,0.0,0,0.0,56.78,0.0,0.0,0.0,0.0,2900,400,0,0,0,56.78,0.0,0.0,0.0,0.0,2900,0,0,0,0
91657000,0.0,0,0.0,56.9,0.0,0.0,0.0,0.0,4000,0,0,0,0,56.9,0.0,0.0,0.0,0.0,4000,2500,0,0,0
91724000,0.0,0,0.0,56.9,0.0,0.0,0.0,0.0,4200,0,0,0,0,56.9,0.0,0.0,0.0,0.0,4200,2800,0,0,0
91818000,0.0,0,0.0,56.9,0.0,0.0,0.0,0.0,4200,0,0,0,0,56.9,0.0,0.0,0.0,0.0,4200,3100,0,0,0
91845000,0.0,0,0.0,56.9,0.0,0.0,0.0,0.0,4300,0,0,0,0,56.9,0.0,0.0,0.0,0.0,4300,3200,0,0,0
91912000,0.0,0,0.0,56.88,0.0,0.0,0.0,0.0,4400,0,0,0,0,56.88,0.0,0.0,0.0,0.0,4400,100,0,0,0
92009000,0.0,0,0.0,56.9,0.0,0.0,0.0,0.0,6700,0,0,0,0,56.9,0.0,0.0,0.0,0.0,6700,2400,0,0,0
92036000,0.0,0,0.0,56.9,0.0,0.0,0.0,0.0,7900,0,0,0,0,56.9,0.0,0.0,0.0,0.0,7900,1700,0,0,0
92103000,0.0,0,0.0,56.9,0.0,0.0,0.0,0.0,8300,0,0,0,0,56.9,0.0,0.0,0.0,0.0,8300,1400,0,0,0
92130000,0.0,0,0.0,56.9,0.0,0.0,0.0,0.0,9200,0,0,0,0,56.9,0.0,0.0,0.0,0.0,9200,2700,0,0,0
