time,oid,oidb,oids,price,volume,flag,ptype
91500200,32668,0,0,58.4,100,1,2
91500210,32733,0,0,53.88,400,1,2
91500210,32734,0,0,64.81,1000,2,2
91500210,32735,0,0,62.22,300,2,2
91500210,33690,0,0,61.91,2000,2,2
91500220,34123,0,0,55.2,200,1,2
91500220,34446,0,0,57.52,500,1,2
91500220,34536,0,0,60.93,100,2,2
91500220,34537,0,0,62.97,100,2,2
91500220,35183,0,0,64.8,100,2,2
91500230,36036,0,0,64.8,100,2,2
91500230,36091,0,0,58.87,100,1,2
91500230,36324,0,0,57.85,100,1,2
91500230,36419,0,0,59.8,10400,2,2
91500230,36427,0,0,61.5,300,2,2
91500230,36599,0,0,57.54,600,1,2
91500230,37042,0,0,59.0,100,1,2
91500240,37120,0,0,58.92,300,1,2
91500240,37715,0,0,62.0,2000,2,2
91500240,37852,0,0,60.66,100,2,2
91500250,38250,0,0,57.95,500,1,2
91500250,39439,0,0,61.49,700,2,2
91500250,39441,0,0,56.9,400,1,2
91500260,39595,0,0,60.9,200,2,2
91500270,40630,0,0,64.5,500,2,2
91500270,41003,0,0,60.5,100,2,2
91500270,41220,0,0,59.93,2700,2,2
91500280,42250,0,0,56.13,700,1,2
91500290,42563,0,0,56.56,100,1,2
91500290,42960,0,0,59.8,100,2,2
91500300,43273,0,0,64.81,300,2,2
91500300,43770,0,0,58.0,200,1,2
91500310,44206,0,0,62.0,500,2,2
91500310,44579,0,0,58.33,500,1,2
91500310,44580,0,0,57.75,500,1,2
91500310,44581,0,0,57.15,500,1,2
91500310,44583,0,0,55.97,500,1,2
91500310,44585,0,0,60.1,500,2,2
91500310,44586,0,0,60.69,500,2,2
91500310,44587,0,0,61.87,500,2,2
91500310,44588,0,0,63.04,500,2,2
91500310,44589,0,0,64.22,500,2,2
91500310,44590,0,0,64.81,500,2,2
91500310,44922,0,0,62.0,100,2,2
91500310,44983,0,0,58.56,100,1,2
91500320,45837,0,0,58.93,500,1,2
91500320,45903,0,0,60.0,1000,2,2
91500320,45904,0,0,61.0,1000,2,2
91500320,45905,0,0,62.0,1000,2,2
91500320,46122,0,0,60.99,900,2,2
91500320,46281,0,0,57.0,200,1,2
91500320,46290,0,0,60.11,200,2,2
91500330,47756,0,0,58.92,100,1,2
91500340,48273,0,0,59.5,200,2,2
91500340,48712,0,0,57.2,300,1,2
91500350,49418,0,0,59.41,800,2,2
91500350,49437,0,0,60.88,100,2,2
91500350,49461,0,0,58.9,100,1,2
91500360,49734,0,0,60.99,6200,2,2
91500370,50463,0,0,56.85,200,1,2
91500390,52369,0,0,60.5,2700,2,2
91500390,52370,0,0,61.6,2700,2,2
91500390,52371,0,0,58.3,2700,1,2
91500390,52372,0,0,57.2,2700,1,2
91500400,52769,0,0,58.92,100,2,2
91500400,53566,0,0,60.5,200,2,2
91500420,54318,0,0,58.31,300,1,2
91500420,54847,0,0,57.68,500,1,2
91500430,55287,0,0,55.0,100,1,2
91500430,55308,0,0,61.0,300,2,2
91500430,55483,0,0,64.8,100,2,2
91500440,55904,0,0,62.0,200,2,2
91500440,56430,0,0,59.61,900,2,2
91500440,56584,0,0,61.9,100,2,2
91500450,57181,0,0,61.52,1800,2,2
91500470,58742,0,0,62.17,100,2,2
91500470,58918,0,0,58.92,100,2,2
91500470,59274,0,0,63.0,300,2,2
91500480,59492,0,0,59.91,300,2,2
91500480,59524,0,0,60.52,300,2,2
91500480,59857,0,0,64.81,200,2,2
91500480,60244,0,0,59.99,400,2,2
91500480,60249,0,0,60.19,400,2,2
91500480,60250,0,0,60.39,400,2,2
91500480,60251,0,0,60.59,400,2,2
91500480,60252,0,0,60.79,400,2,2
91500480,60253,0,0,60.99,400,2,2
91500480,60254,0,0,61.19,400,2,2
91500480,60255,0,0,61.39,400,2,2
91500480,60256,0,0,61.59,400,2,2
91500480,60257,0,0,61.79,400,2,2
91500480,60258,0,0,61.99,400,2,2
91500480,60259,0,0,58.41,400,1,2
91500480,60260,0,0,58.21,400,1,2
91500480,60261,0,0,58.01,400,1,2
91500480,60262,0,0,57.81,400,1,2
91500480,60263,0,0,57.61,400,1,2
91500480,60264,0,0,57.41,400,1,2
91500480,60265,0,0,57.21,400,1,2
91500480,60278,0,0,57.01,400,1,2
91500490,60812,0,0,58.92,200,1,2
91500490,60994,0,0,58.0,100,1,2
91500500,61349,0,0,61.0,200,2,2
91500500,61501,0,0,60.5,100,2,2
91500500,61631,0,0,64.81,1000,2,2
91500500,61632,0,0,62.07,1000,2,2
91500510,61921,0,0,57.68,300,1,2
91500510,61922,0,0,62.38,200,2,2
91500510,61996,0,0,53.03,1000,1,2
91500510,62082,0,0,61.5,900,2,2
91500510,62083,0,0,61.5,400,2,2
91500510,62128,0,0,64.81,200,2,2
91500510,62129,0,0,61.62,200,2,2
91500510,62133,0,0,62.0,100,2,2
91500510,62172,0,0,61.78,200,2,2
91500510,62338,0,0,62.91,300,2,2
91500510,62339,0,0,55.82,300,1,2
91500520,62744,0,0,60.51,400,2,2
91500520,62948,0,0,59.68,100,2,2
91500520,63093,0,0,61.06,400,2,2
91500520,63205,0,0,62.99,200,2,2
91500530,63572,0,0,53.03,100,1,2
91500530,63666,0,0,60.88,200,2,2
91500540,64067,0,0,58.57,300,1,2
91500540,64087,0,0,60.5,100,2,2
91500540,64336,0,0,60.5,100,2,2
91500560,65819,0,0,62.0,300,2,2
91500560,65906,0,0,57.96,100,1,2
91500560,65907,0,0,56.96,100,1,2
91500560,65908,0,0,55.96,100,1,2
91500560,65909,0,0,54.96,100,1,2
91500560,65979,0,0,60.69,1000,2,2
91500560,66022,0,0,63.0,300,2,2
91500560,66062,0,0,59.19,500,2,2
91500570,66226,0,0,60.52,500,2,2
91500570,66486,0,0,59.91,100,2,2
91500570,66521,0,0,58.91,200,2,2
91500570,66606,0,0,62.58,1000,2,2
91500580,66825,0,0,59.0,260,2,2
91500580,66861,0,0,58.0,100,1,2
91500580,66956,0,0,59.2,100,2,2
91500580,66957,0,0,59.81,100,2,2
91500580,66958,0,0,60.49,100,2,2
91500580,66976,0,0,58.08,100,1,2
91500580,66977,0,0,57.01,200,1,2
91500580,66978,0,0,54.54,100,1,2
91500580,66979,0,0,53.03,100,1,2
91500590,67696,0,0,57.42,200,1,2
91500590,67856,0,0,64.81,100,2,2
91500590,68177,0,0,58.91,300,2,2
91500600,68616,0,0,60.68,100,2,2
91500600,68737,0,0,60.53,300,2,2
91500600,68810,0,0,58.91,200,2,2
91500600,68875,0,0,59.4,300,2,2
91500600,68876,0,0,60.2,200,2,2
91500600,68877,0,0,60.5,100,2,2
91500610,69022,0,0,58.91,100,2,2
91500610,69268,0,0,59.95,100,2,2
91500620,69602,0,0,62.5,400,2,2
91500620,69968,0,0,58.11,900,1,2
91500630,70567,0,0,62.0,100,2,2
91500630,70569,0,0,61.0,100,2,2
91500630,71100,0,0,60.5,2400,2,2
91500640,71457,0,0,60.4,100,2,2
91500640,71460,0,0,57.5,100,1,2
91500640,71461,0,0,57.5,100,1,2
91500660,72629,0,0,60.58,200,2,2
91500670,73259,0,0,58.0,1200,1,2
91500680,74722,0,0,57.05,100,1,2
91500680,74723,0,0,61.0,100,2,2
91500680,74724,0,0,57.25,100,1,2
91500680,74725,0,0,61.5,200,2,2
91500690,74904,0,0,61.57,200,2,2
91500690,74905,0,0,57.25,200,1,2
91500690,74908,0,0,53.61,300,1,2
91500690,74935,0,0,61.0,300,2,2
91500700,75717,0,0,63.62,100,2,2
91500700,75805,0,0,56.85,200,1,2
91500700,76130,0,0,64.81,10000,2,2
91500700,76160,0,0,62.88,100,2,2
91500710,76535,0,0,60.25,200,2,2
91500750,78878,0,0,59.48,900,2,2
91500760,79229,0,0,58.92,100,1,2
91500780,80959,0,0,58.5,500,1,2
