time,oid,oidb,oids,price,volume,flag,ptype
92500760,0,166417,201114,28.0,200,0,0
92500760,0,166417,218001,28.0,2600,0,0
92500760,0,184579,223349,28.0,300,0,0
92500760,0,190117,223349,28.0,300,0,0
92500760,0,198551,223349,28.0,300,0,0
92500760,0,209727,223349,28.0,300,0,0
92500760,0,182848,223349,28.0,200,0,0
92500760,0,172780,221771,28.0,100,0,0
92500760,0,204353,221069,28.0,300,0,0
92500760,0,38131,221069,28.0,400,0,0
92500760,0,79499,216760,28.0,500,0,0
92500760,0,196741,78928,28.0,100,0,0
92500760,0,47456,111865,28.0,200,0,0
92500760,0,123769,132089,28.0,200,0,0
92500760,0,179719,140536,28.0,100,0,0
92500760,0,179719,198385,28.0,2500,0,0
93000250,0,227285,205427,28.0,200,1,0
93000530,0,230273,212099,28.0,100,1,0
93000530,0,230524,212099,28.0,200,1,0
93000530,0,231001,212099,28.0,100,1,0
93000530,0,231001,230977,28.0,100,1,0
93002250,0,247145,233819,28.0,1100,1,0
93002250,0,247165,233819,28.0,400,1,0
93002250,0,248174,247862,27.97,100,1,0
93002910,0,253759,254071,27.97,400,2,0
93003370,0,260210,233819,28.0,2700,1,0
93003650,0,264865,233819,28.0,200,1,0
93003830,0,266541,233819,28.0,4700,1,0
93004710,0,277050,233819,28.0,700,1,0
93004870,0,266864,279795,27.97,100,2,0
93004870,0,266864,279798,27.97,400,2,0
93004870,0,279842,233819,28.0,3500,1,0
93004870,0,266864,280362,27.97,100,2,0
93006220,0,297127,282011,27.97,300,1,0
93007220,0,308955,282011,27.97,2000,1,0
93007370,0,290028,309902,27.95,300,2,0
93008350,0,321966,282011,27.97,200,1,0
93009460,0,335199,282011,27.97,400,1,0
93009460,0,335199,320787,27.97,200,1,0
93009460,0,335199,324758,27.97,100,1,0
93009460,0,335199,325981,27.97,300,1,0
93009460,0,335199,332109,27.97,500,1,0
93009460,0,335199,332854,27.97,400,1,0
93009590,0,337983,332854,27.97,100,1,0
93009590,0,337983,335485,27.97,900,1,0
93009590,0,337983,335545,27.97,900,1,0
93009720,0,338937,281850,27.98,1000,1,0
93010610,0,345844,340936,27.96,200,1,0
93010880,0,347501,342159,27.97,200,1,0
93011250,0,348676,349883,27.96,300,2,0
93011250,0,290467,349883,27.95,800,2,0
