time,oid,oidb,oids,price,volume,flag,ptype
91500250,772,0,0,6.4,300,1,2
91500330,1106,0,0,7.26,10100,2,2
91500330,1268,0,0,6.83,20000,2,2
91500330,1269,0,0,6.77,3000,1,2
91500380,1454,0,0,7.44,500,2,2
91500380,1459,0,0,7.44,140,2,2
91500420,1646,0,0,6.8,3700,2,2
91500430,1912,0,0,7.05,500,2,2
91500430,1913,0,0,6.6,500,1,2
91500430,1938,0,0,7.04,1100,2,2
91500430,1960,0,0,7.3,500,2,2
91500460,2089,0,0,6.58,5000,1,2
91500480,2336,0,0,6.6,1700,1,2
91500560,2627,0,0,6.71,400,1,2
91500560,2628,0,0,6.76,400,1,2
91500560,2709,0,0,7.05,500,2,2
91500560,2710,0,0,7.07,500,2,2
91500560,2772,0,0,6.9,10000,2,2
91500560,2825,0,0,6.6,10000,1,2
91500560,2858,0,0,7.0,20000,2,2
91500610,2961,0,0,7.06,260,2,2
91500610,2963,0,0,6.68,400,1,2
91500610,2964,0,0,6.62,400,1,2
91500760,3150,0,0,7.44,200,2,2
91500760,3262,0,0,6.5,1000,1,2
91500950,3354,0,0,6.09,1200,2,2
91500950,3408,0,0,7.0,2300,2,2
91500950,3409,0,0,7.2,2300,2,2
91500950,3411,0,0,6.6,1400,1,2
91501090,3976,0,0,7.0,1430,2,2
91501110,4192,0,0,6.68,500,1,2
91501110,4206,0,0,7.44,4000,2,2
91501130,4607,0,0,7.18,500,2,2
91501150,4680,0,0,7.38,200,2,2
91501150,4689,0,0,6.96,300,2,2
91501150,4742,0,0,7.32,500,2,2
91501150,4895,0,0,6.88,1500,2,2
91501150,4897,0,0,6.76,26000,1,2
91501150,5010,0,0,7.41,5000,2,2
91501170,5187,0,0,6.86,1000,2,2
91501200,5358,0,0,6.64,7000,1,2
91501220,5712,0,0,7.44,1400,2,2
91501240,5882,0,0,6.96,800,2,2
91501240,6024,0,0,6.97,100,2,2
91501240,6038,0,0,7.38,10000,2,2
91501260,6177,0,0,7.2,100,2,2
91501290,6455,0,0,7.2,200,2,2
91501290,6462,0,0,7.3,200,2,2
91501290,6469,0,0,7.4,100,2,2
91501290,6477,0,0,6.69,3600,1,2
91501290,6522,0,0,6.9,1000,2,2
91501290,6524,0,0,6.5,3100,1,2
91501290,6633,0,0,7.0,1000,2,2
91501290,6684,0,0,7.3,9600,2,2
91501290,6951,0,0,6.99,4200,2,2
91501290,6972,0,0,7.17,4000,2,2
91501290,6979,0,0,7.44,4000,2,2
91501290,7193,0,0,6.89,6000,2,2
91501370,7618,0,0,6.9,10000,2,2
91501370,7622,0,0,6.68,10000,1,2
91501370,7632,0,0,6.9,10000,2,2
91501370,7649,0,0,6.68,10000,1,2
91501370,7719,0,0,6.9,10000,2,2
91501370,7720,0,0,6.68,10000,1,2
91501370,8169,0,0,7.19,25000,2,2
91501370,8196,0,0,6.66,5000,1,2
91501440,8603,0,0,6.58,600,1,2
91501440,8604,0,0,6.98,600,2,2
91501440,8722,0,0,7.44,3000,2,2
91501440,8742,0,0,6.9,4400,2,2
91501440,8859,0,0,7.1,200,2,2
91501440,9045,0,0,7.44,500,2,2
91501510,9276,0,0,7.3,3600,2,2
91501510,9745,0,0,6.92,2100,2,2
91501510,9892,0,0,7.44,400,2,2
91501510,9966,0,0,7.1,2000,2,2
91501510,9976,0,0,7.18,500,2,2
91501510,10089,0,0,6.92,500,2,2
91501570,10248,0,0,7.15,500,2,2
91501570,10457,0,0,6.69,1000,1,2
91501570,10469,0,0,6.62,2000,1,2
91501570,10481,0,0,6.55,4000,1,2
91501570,10483,0,0,6.49,4000,1,2
91501620,11209,0,0,6.64,300,1,2
91501620,11210,0,0,6.49,500,1,2
91501620,11211,0,0,7.24,900,2,2
91501620,11373,0,0,6.99,5500,2,2
91501620,11447,0,0,7.44,300,2,2
91501620,11448,0,0,6.56,500,1,2
91501620,11455,0,0,6.45,200,1,2
91501620,11463,0,0,7.25,100,2,2
91501620,11603,0,0,7.0,400,2,2
91501620,11982,0,0,7.37,2400,2,2
91501680,12123,0,0,7.1,200,2,2
91501680,12357,0,0,6.9,260,2,2
91501680,12755,0,0,6.88,1300,2,2
91501680,12776,0,0,7.07,2200,2,2
91501740,13042,0,0,7.0,2000,2,2
91501740,13057,0,0,7.1,3000,2,2
91501740,13068,0,0,7.2,4000,2,2
91501740,13100,0,0,7.3,5000,2,2
91501740,13113,0,0,7.4,7000,2,2
91501740,13591,0,0,7.35,13000,2,2
91501740,13814,0,0,7.05,1200,2,2
91501740,13815,0,0,7.43,2000,2,2
91501740,13901,0,0,7.08,100,2,2
91501810,14386,0,0,6.6,400,1,2
91501810,14390,0,0,6.57,400,1,2
91501810,14396,0,0,6.54,400,1,2
91501810,14430,0,0,7.05,500,2,2
91501810,14466,0,0,6.9,400,2,2
91501810,14469,0,0,6.93,400,2,2
91501810,14475,0,0,6.96,400,2,2
91501810,14485,0,0,7.0,400,2,2
91501810,14546,0,0,6.85,2000,2,2
91501810,15183,0,0,7.25,400,2,2
91501810,15296,0,0,7.44,100,2,2
91501810,15328,0,0,7.38,7500,2,2
91501810,15377,0,0,7.37,1200,2,2
91501810,15419,0,0,6.71,3000,1,2
91501810,15696,0,0,7.43,5000,2,2
91501810,15721,0,0,7.17,5000,2,2
91501810,15780,0,0,6.52,1000,1,2
91501810,15781,0,0,6.43,2000,1,2
91501810,15789,0,0,7.41,5000,2,2
91501810,15795,0,0,6.95,2000,2,2
91501810,15797,0,0,7.05,2000,2,2
91501810,15801,0,0,6.6,2000,1,2
91501810,15804,0,0,7.17,1000,2,2
91501930,15887,0,0,7.15,5000,2,2
91501930,15947,0,0,7.43,10000,2,2
91501930,15957,0,0,7.37,7000,2,2
91501930,15967,0,0,7.27,10000,2,2
91501930,15968,0,0,7.41,15000,2,2
91501930,15991,0,0,6.76,13700,1,2
91501930,16224,0,0,6.88,2000,2,2
91501930,16242,0,0,6.76,2000,2,2
91501930,16378,0,0,6.93,4000,2,2
91501930,16386,0,0,6.98,4000,2,2
91501930,16494,0,0,6.66,4000,1,2
91501930,16597,0,0,6.72,2500,1,2
91501930,17264,0,0,7.1,700,2,2
91501930,17265,0,0,7.39,700,2,2
91502050,18145,0,0,6.8,2200,2,2
91502050,18168,0,0,6.66,2200,1,2
91502050,18172,0,0,6.77,2000,2,2
91502050,18519,0,0,6.97,3300,2,2
91502050,18582,0,0,7.44,500,2,2
91502050,18700,0,0,7.02,300,2,2
91502050,18995,0,0,6.57,1500,1,2
91502050,19033,0,0,7.05,1200,2,2
91502050,19061,0,0,6.47,1500,1,2
91502050,19086,0,0,6.37,1500,1,2
91502050,19240,0,0,6.27,1500,1,2
91502050,19254,0,0,6.96,1500,2,2
91502050,19257,0,0,6.17,1500,1,2
